# s,dist_s
-6.000000000000000000e+00,3.569110215509177767e-09
-5.906250000000000000e+00,6.343187066491987271e-09
-5.812500000000000000e+00,1.117177156522027863e-08
-5.718750000000000000e+00,1.949860502246695460e-08
-5.625000000000000000e+00,3.372500359666499345e-08
-5.531250000000000000e+00,5.780527011092348466e-08
-5.437500000000000000e+00,9.818605991394961433e-08
-5.343750000000000000e+00,1.652719677981809691e-07
-5.250000000000000000e+00,2.756865197530415933e-07
-5.156250000000000000e+00,4.557207793186985028e-07
-5.062500000000000000e+00,7.465331533687060877e-07
-4.968750000000000000e+00,1.211898742927565751e-06
-4.875000000000000000e+00,1.949622544292458004e-06
-4.781250000000000000e+00,3.108148132450225165e-06
-4.687500000000000000e+00,4.910433648655351624e-06
-4.593750000000000000e+00,7.687850917340259329e-06
-4.500000000000000000e+00,1.192770875794613798e-05
-4.406250000000000000e+00,1.833901759679796599e-05
-4.312500000000000000e+00,2.794229515000240779e-05
-4.218750000000000000e+00,4.219053687121546056e-05
-4.125000000000000000e+00,6.312988459230886563e-05
-4.031250000000000000e+00,9.360992700056562849e-05
-3.937500000000000000e+00,1.375548112523818859e-04
-3.843750000000000000e+00,2.003072329302363428e-04
-3.750000000000000000e+00,2.890576352547552194e-04
-3.656250000000000000e+00,4.133702588956751699e-04
-3.562500000000000000e+00,5.858156583615680086e-04
-3.468750000000000000e+00,8.227155243338317913e-04
-3.375000000000000000e+00,1.144999709384513431e-03
-3.281250000000000000e+00,1.579166884247281419e-03
-3.187500000000000000e+00,2.158329006020195256e-03
-3.093750000000000000e+00,2.923305704627678862e-03
-3.000000000000000000e+00,3.923718014208064063e-03
-2.906250000000000000e+00,5.219012178509992682e-03
-2.812500000000000000e+00,6.879324562978669788e-03
-2.718750000000000000e+00,8.986079504980247837e-03
-2.625000000000000000e+00,1.163219519494106298e-02
-2.531250000000000000e+00,1.492176078495686432e-02
-2.437500000000000000e+00,1.896904352742518826e-02
-2.343750000000000000e+00,2.389669058368061941e-02
-2.250000000000000000e+00,2.983300872489929451e-02
-2.156250000000000000e+00,3.690823842701767415e-02
-2.062500000000000000e+00,4.524978785153530025e-02
-1.968750000000000000e+00,5.497645660947725332e-02
-1.875000000000000000e+00,6.619175711059409328e-02
-1.781250000000000000e+00,7.897652897005956463e-02
-1.687500000000000000e+00,9.338113379898824173e-02
-1.593750000000000000e+00,1.094176064971747325e-01
-1.500000000000000000e+00,1.270522164071570537e-01
-1.406250000000000000e+00,1.461989483017274438e-01
-1.312500000000000000e+00,1.667144403571920730e-01
-1.218750000000000000e+00,1.883949064684815322e-01
-1.125000000000000000e+00,2.109755182307767318e-01
-1.031250000000000000e+00,2.341326256046126486e-01
-9.375000000000000000e-01,2.574890565864432213e-01
-8.437500000000000000e-01,2.806225613121985374e-01
-7.500000000000000000e-01,3.030772653444152032e-01
