# p,dist_p
-5.000000000000000000e+00,-1.595816554358243239e-04
-4.921875000000000000e+00,-5.873396644933553956e-05
-4.843750000000000000e+00,8.310387425117769788e-05
-4.765625000000000000e+00,2.372816246428537112e-04
-4.687500000000000000e+00,3.709778566718183179e-04
-4.609375000000000000e+00,4.544511313118847901e-04
-4.531250000000000000e+00,4.678481574196518417e-04
-4.453125000000000000e+00,4.060268916390875199e-04
-4.375000000000000000e+00,2.802318941086436033e-04
-4.296875000000000000e+00,1.161111959827251794e-04
-4.218750000000000000e+00,-5.164325145093351388e-05
-4.140625000000000000e+00,-1.869838581364160340e-04
-4.062500000000000000e+00,-2.609076917391775496e-04
-3.984375000000000000e+00,-2.587135576638862483e-04
-3.906250000000000000e+00,-1.844203691458382727e-04
-3.828125000000000000e+00,-6.119315774467080915e-05
-3.750000000000000000e+00,7.255335098134418903e-05
-3.671875000000000000e+00,1.707650744962371098e-04
-3.593750000000000000e+00,1.896106311855914189e-04
-3.515625000000000000e+00,9.755552489156514573e-05
-3.437500000000000000e+00,-1.165515505295432880e-04
-3.359375000000000000e+00,-4.392667181299450552e-04
-3.281250000000000000e+00,-8.333554689839307167e-04
-3.203125000000000000e+00,-1.243720641990415932e-03
-3.125000000000000000e+00,-1.607444509212175437e-03
-3.046875000000000000e+00,-1.865977687793096348e-03
-2.968750000000000000e+00,-1.976925283708876740e-03
-2.890625000000000000e+00,-1.922820987241712423e-03
-2.812500000000000000e+00,-1.714783169471703270e-03
-2.734375000000000000e+00,-1.389931945475247205e-03
-2.656250000000000000e+00,-1.002719781532738705e-03
-2.578125000000000000e+00,-6.116214561551844980e-04
-2.500000000000000000e+00,-2.636510316006684257e-04
-2.421875000000000000e+00,2.032613749507541923e-05
-2.343750000000000000e+00,2.566900406967068116e-04
-2.265625000000000000e+00,5.046284087201168000e-04
-2.187500000000000000e+00,8.656115860318520233e-04
-2.109375000000000000e+00,1.477869706562251126e-03
-2.031250000000000000e+00,2.508488065887224186e-03
-1.953125000000000000e+00,4.146759626949733310e-03
-1.875000000000000000e+00,6.602634807541942624e-03
-1.796875000000000000e+00,1.011331284652389369e-02
-1.718750000000000000e+00,1.495924847364386683e-02
-1.640625000000000000e+00,2.148834081556714320e-02
-1.562500000000000000e+00,3.014425942019556895e-02
-1.484375000000000000e+00,4.149230340717760535e-02
-1.406250000000000000e+00,5.623447289885842582e-02
-1.328125000000000000e+00,7.520506335822066402e-02
-1.250000000000000000e+00,9.933938868130091915e-02
-1.171875000000000000e+00,1.296112397903829705e-01
