# q,dist_q
-3.961240310077519311e+00,0.000000000000000000e+00
-3.883720930232557933e+00,0.000000000000000000e+00
-3.806201550387596999e+00,0.000000000000000000e+00
-3.728682170542635621e+00,0.000000000000000000e+00
-3.651162790697674687e+00,0.000000000000000000e+00
-3.573643410852713309e+00,0.000000000000000000e+00
-3.496124031007751931e+00,0.000000000000000000e+00
-3.418604651162790553e+00,0.000000000000000000e+00
-3.341085271317829175e+00,0.000000000000000000e+00
-3.263565891472868241e+00,0.000000000000000000e+00
-3.186046511627907307e+00,0.000000000000000000e+00
-3.108527131782945929e+00,6.449999999999988220e-06
-3.031007751937984551e+00,1.934999999999996551e-05
-2.953488372093023173e+00,9.029999999999983678e-05
-2.875968992248061795e+00,3.998999999999992713e-05
-2.798449612403100417e+00,7.869000000000031894e-05
-2.720930232558139927e+00,1.302900000000005161e-04
-2.643410852713178549e+00,2.605799999999995143e-04
-2.565891472868217171e+00,3.599099999999993645e-04
-2.488372093023255793e+00,6.824099999999987468e-04
-2.410852713178294415e+00,1.149389999999997965e-03
-2.333333333333333037e+00,1.403520000000005536e-03
-2.255813953488372103e+00,1.986599999999996355e-03
-2.178294573643411169e+00,2.844450000000011379e-03
-2.100775193798449791e+00,3.916439999999993260e-03
-2.023255813953488413e+00,5.674709999999989936e-03
-1.945736434108527035e+00,8.027669999999985026e-03
-1.868217054263565879e+00,1.136103000000004623e-02
-1.790697674418604723e+00,1.552127999999997239e-02
-1.713178294573643345e+00,2.092895999999996176e-02
-1.635658914728682189e+00,2.773113000000011069e-02
-1.558139534883721034e+00,3.477710999999993752e-02
-1.480620155038759655e+00,4.395029999999992137e-02
-1.403100775193798500e+00,5.437479000000021434e-02
-1.325581395348837344e+00,6.970514999999986860e-02
-1.248062015503875966e+00,8.422667999999985944e-02
-1.170542635658914810e+00,9.971313000000038562e-02
-1.093023255813953654e+00,1.171087799999998014e-01
-1.015503875968992276e+00,1.365323099999997403e-01
-9.379844961240308976e-01,1.589589599999997049e-01
-8.604651162790697416e-01,1.810257000000007332e-01
-7.829457364341085857e-01,2.047913699999996395e-01
-7.054263565891472076e-01,2.301385799999996207e-01
-6.279069767441860517e-01,2.555064300000010058e-01
-5.503875968992248957e-01,2.848758599999994812e-01
-4.728682170542635177e-01,3.098128499999994179e-01
-3.953488372093023617e-01,3.351690900000013351e-01
-3.178294573643412058e-01,3.576383099999993487e-01
-2.403100775193798277e-01,3.793322399999993211e-01
-1.627906976744186718e-01,3.985506600000016109e-01
-8.527131782945751581e-02,4.157489399999992341e-01
-7.751937984496137801e-03,4.264469099999992352e-01
6.976744186046524021e-02,4.391172899999992163e-01
1.472868217054266182e-01,4.476854699999991971e-01
2.248062015503875521e-01,4.509091800000043504e-01
3.023255813953484861e-01,4.500551999999991559e-01
3.798449612403098641e-01,4.506743999999991424e-01
4.573643410852712421e-01,4.432349699999991732e-01
5.348837209302326201e-01,4.350976499999992808e-01
6.124031007751939981e-01,4.214417099999991922e-01
6.899224806201549320e-01,4.056159900000039231e-01
7.674418604651158660e-01,3.859073699999993057e-01
8.449612403100772440e-01,3.663032399999993638e-01
9.224806201550386220e-01,3.471325499999993736e-01
1.000000000000000000e+00,3.255185999999994362e-01
1.077519379844961378e+00,3.027642899999994919e-01
1.155038759689922756e+00,2.782942799999995054e-01
1.232558139534883690e+00,2.573188800000024701e-01
1.310077519379844624e+00,2.340872699999995976e-01
1.387596899224806002e+00,2.142548099999996292e-01
1.465116279069767380e+00,1.957368599999996517e-01
1.542635658914728758e+00,1.760991899999996835e-01
1.620155038759690136e+00,1.565234399999997084e-01
1.697674418604651070e+00,1.406370900000013524e-01
1.775193798449612004e+00,1.243637399999997784e-01
1.852713178294573382e+00,1.106574899999998030e-01
1.930232558139534760e+00,9.685835999999982404e-02
2.007751937984496138e+00,8.313146999999986020e-02
2.085271317829457516e+00,7.337906999999986579e-02
2.162790697674418894e+00,6.326804999999988133e-02
2.240310077519379828e+00,5.476179000000052505e-02
2.317829457364340762e+00,4.760228999999991523e-02
2.395348837209302140e+00,4.026863999999992505e-02
2.472868217054263518e+00,3.374510999999993932e-02
2.550387596899224896e+00,2.815940999999995073e-02
2.627906976744186274e+00,2.390756999999995788e-02
2.705426356589147208e+00,2.071611000000020061e-02
2.782945736434108142e+00,1.738145999999997013e-02
2.860465116279069520e+00,1.453184999999997465e-02
2.937984496124030898e+00,1.212341999999997852e-02
3.015503875968992276e+00,9.380879999999982080e-03
3.093023255813953654e+00,7.912859999999986849e-03
3.170542635658914588e+00,6.379050000000062275e-03
3.248062015503875521e+00,4.945859999999991166e-03
3.325581395348836899e+00,4.269899999999993145e-03
3.403100775193798277e+00,3.733259999999993459e-03
3.480620155038759655e+00,3.048269999999994422e-03
3.558139534883721034e+00,2.454869999999995719e-03
3.635658914728682412e+00,1.907909999999996605e-03
3.713178294573643345e+00,1.251300000000012255e-03
3.790697674418604279e+00,1.029419999999998340e-03
3.868217054263565657e+00,8.372099999999986063e-04
3.945736434108527035e+00,6.346799999999987955e-04
4.023255813953488413e+00,5.495399999999990787e-04
4.100775193798449791e+00,5.005199999999990906e-04
4.178294573643411169e+00,3.998999999999992578e-04
4.255813953488372547e+00,2.708999999999994832e-04
4.333333333333333925e+00,1.689899999999996949e-04
4.410852713178294415e+00,1.290000000000027290e-04
4.488372093023254905e+00,1.302899999999997571e-04
4.565891472868216283e+00,5.546999999999990090e-05
4.643410852713177661e+00,4.901999999999991352e-05
4.720930232558139039e+00,5.030999999999990964e-05
4.798449612403100417e+00,4.643999999999992128e-05
4.875968992248061795e+00,1.289999999999997813e-06
4.953488372093023173e+00,0.000000000000000000e+00
5.031007751937984551e+00,0.000000000000000000e+00
5.108527131782945929e+00,0.000000000000000000e+00
5.186046511627907307e+00,0.000000000000000000e+00
5.263565891472868685e+00,0.000000000000000000e+00
5.341085271317830063e+00,0.000000000000000000e+00
5.418604651162790553e+00,0.000000000000000000e+00
5.496124031007751043e+00,0.000000000000000000e+00
5.573643410852712421e+00,0.000000000000000000e+00
5.651162790697673799e+00,0.000000000000000000e+00
5.728682170542635177e+00,0.000000000000000000e+00
5.806201550387596555e+00,0.000000000000000000e+00
5.883720930232557933e+00,0.000000000000000000e+00
5.961240310077519311e+00,0.000000000000000000e+00
