# p,dist_p
-5.000000000000000000e+00,4.398506594753270882e-04
-4.921875000000000000e+00,4.287986607871968614e-04
-4.843750000000000000e+00,4.052194423989612798e-04
-4.765625000000000000e+00,3.712749438525512341e-04
-4.687500000000000000e+00,3.307116993818710188e-04
-4.609375000000000000e+00,2.891335052312028059e-04
-4.531250000000000000e+00,2.542141634409994522e-04
-4.453125000000000000e+00,2.358117002146213614e-04
-4.375000000000000000e+00,2.459430858907010048e-04
-4.296875000000000000e+00,2.985791765912435697e-04
-4.218750000000000000e+00,4.092240875837194897e-04
-4.140625000000000000e+00,5.942520774502128844e-04
-4.062500000000000000e+00,8.699886147889752952e-04
-3.984375000000000000e+00,1.251540636667955106e-03
-3.906250000000000000e+00,1.751403712418862085e-03
-3.828125000000000000e+00,2.377900063042897791e-03
-3.750000000000000000e+00,3.133529834718908058e-03
-3.671875000000000000e+00,4.013346884349565033e-03
-3.593750000000000000e+00,5.003497375529970814e-03
-3.515625000000000000e+00,6.080082141390967185e-03
-3.437500000000000000e+00,7.208519294471787270e-03
-3.359375000000000000e+00,8.343589201287133009e-03
-3.281250000000000000e+00,9.430337163642473278e-03
-3.203125000000000000e+00,1.040598790591108595e-02
-3.125000000000000000e+00,1.120298892988996937e-02
-3.046875000000000000e+00,1.175324660453293951e-02
-2.968750000000000000e+00,1.199355031174103095e-02
-2.890625000000000000e+00,1.187209818356498546e-02
-2.812500000000000000e+00,1.135594641751080068e-02
-2.734375000000000000e+00,1.043910764369003832e-02
-2.656250000000000000e+00,9.150928304818953946e-03
-2.578125000000000000e+00,7.564287355566835791e-03
-2.500000000000000000e+00,5.803086159193227012e-03
-2.421875000000000000e+00,4.048449654614795501e-03
-2.343750000000000000e+00,2.543038564342351565e-03
-2.265625000000000000e+00,1.592887387634262658e-03
-2.187500000000000000e+00,1.566237267825097007e-03
-2.109375000000000000e+00,2.888928430362910915e-03
-2.031250000000000000e+00,6.036053031049544437e-03
-1.953125000000000000e+00,1.151974231597672517e-02
-1.875000000000000000e+00,1.987316538892328760e-02
-1.796875000000000000e+00,3.163104118419722555e-02
-1.718750000000000000e+00,4.730719855095426307e-02
-1.640625000000000000e+00,6.736994787086413028e-02
-1.562500000000000000e+00,9.221623644145782173e-02
-1.484375000000000000e+00,1.221457338722721220e-01
-1.406250000000000000e+00,1.573361187300557351e-01
-1.328125000000000000e+00,1.978209013290067597e-01
-1.250000000000000000e+00,2.434711105298468237e-01
-1.171875000000000000e+00,2.939820891498035604e-01
-1.093750000000000000e+00,3.488664820557455526e-01
-1.015625000000000000e+00,4.074542670751990503e-01
-9.375000000000000000e-01,4.689003803502646561e-01
-8.593750000000000000e-01,5.322001382142065307e-01
-7.812500000000000000e-01,5.962122747027231995e-01
-7.031250000000000000e-01,6.596890181619330384e-01
-6.250000000000000000e-01,7.213122447300812645e-01
-5.468750000000000000e-01,7.797343938892371540e-01
-4.687500000000000000e-01,8.336225339244561772e-01
-3.906250000000000000e-01,8.817037425811347084e-01
-3.125000000000000000e-01,9.228098361519814219e-01
-2.343750000000000000e-01,9.559194492508145125e-01
-1.562500000000000000e-01,9.801955423140875645e-01
-7.812500000000000000e-02,9.950165927000225174e-01
0.000000000000000000e+00,1.000000000000000000e+00
7.812500000000000000e-02,9.950165927000225174e-01
1.562500000000000000e-01,9.801955423140875645e-01
2.343750000000000000e-01,9.559194492508145125e-01
3.125000000000000000e-01,9.228098361519814219e-01
3.906250000000000000e-01,8.817037425811347084e-01
4.687500000000000000e-01,8.336225339244561772e-01
5.468750000000000000e-01,7.797343938892371540e-01
6.250000000000000000e-01,7.213122447300812645e-01
7.031250000000000000e-01,6.596890181619330384e-01
7.812500000000000000e-01,5.962122747027231995e-01
8.593750000000000000e-01,5.322001382142065307e-01
9.375000000000000000e-01,4.689003803502646561e-01
1.015625000000000000e+00,4.074542670751990503e-01
1.093750000000000000e+00,3.488664820557455526e-01
1.171875000000000000e+00,2.939820891498035604e-01
1.250000000000000000e+00,2.434711105298468237e-01
1.328125000000000000e+00,1.978209013290067597e-01
1.406250000000000000e+00,1.573361187300557351e-01
1.484375000000000000e+00,1.221457338722721220e-01
1.562500000000000000e+00,9.221623644145782173e-02
1.640625000000000000e+00,6.736994787086413028e-02
1.718750000000000000e+00,4.730719855095426307e-02
1.796875000000000000e+00,3.163104118419722555e-02
1.875000000000000000e+00,1.987316538892328760e-02
1.953125000000000000e+00,1.151974231597672517e-02
2.031250000000000000e+00,6.036053031049544437e-03
2.109375000000000000e+00,2.888928430362910915e-03
