# s,dist_s
-6.000000000000000000e+00,1.397640940409468459e-09
-5.906250000000000000e+00,2.559224637938700417e-09
-5.812500000000000000e+00,4.641774016199816365e-09
-5.718750000000000000e+00,8.339161194241667724e-09
-5.625000000000000000e+00,1.483964579688936129e-08
-5.531250000000000000e+00,2.615697347276688197e-08
-5.437500000000000000e+00,4.566823629527898570e-08
-5.343750000000000000e+00,7.897757192209999789e-08
-5.250000000000000000e+00,1.352870125140450286e-07
-5.156250000000000000e+00,2.295467911037514976e-07
-5.062500000000000000e+00,3.857883743609235381e-07
-4.968750000000000000e+00,6.422288884483370177e-07
-4.875000000000000000e+00,1.058993582540601579e-06
-4.781250000000000000e+00,1.729655492721441093e-06
-4.687500000000000000e+00,2.798263985645914365e-06
-4.593750000000000000e+00,4.484154280104991795e-06
-4.500000000000000000e+00,7.117626595124032159e-06
-4.406250000000000000e+00,1.119058125277243330e-05
-4.312500000000000000e+00,1.742741126629736891e-05
-4.218750000000000000e+00,2.688288696951906962e-05
-4.125000000000000000e+00,4.107539254572976310e-05
-4.031250000000000000e+00,6.216562863630521393e-05
-3.937500000000000000e+00,9.319266419067932848e-05
-3.843750000000000000e+00,1.383808251596197370e-04
-3.750000000000000000e+00,2.035320913108230813e-04
-3.656250000000000000e+00,2.965190941860728659e-04
-3.562500000000000000e+00,4.278930426617997022e-04
-3.468750000000000000e+00,6.116184476235232877e-04
-3.375000000000000000e+00,8.659418273560810612e-04
-3.281250000000000000e+00,1.214394104071399435e-03
-3.187500000000000000e+00,1.686915671903716028e-03
-3.093750000000000000e+00,2.321078808737854320e-03
-3.000000000000000000e+00,3.163364166103269700e-03
-2.906250000000000000e+00,4.270426835405148613e-03
-2.812500000000000000e+00,5.710263786957989370e-03
-2.718750000000000000e+00,7.563169736515730143e-03
-2.625000000000000000e+00,9.922344783861534318e-03
-2.531250000000000000e+00,1.289399719284884359e-02
-2.437500000000000000e+00,1.659677167519215540e-02
-2.343750000000000000e+00,2.116033105787644072e-02
-2.250000000000000000e+00,2.672293081917726312e-02
-2.156250000000000000e+00,3.342785482038576617e-02
-2.062500000000000000e+00,4.141862887924564057e-02
-1.968750000000000000e+00,5.083299743036709395e-02
-1.875000000000000000e+00,6.179573627126572904e-02
-1.781250000000000000e+00,7.441047786106481932e-02
-1.687500000000000000e+00,8.875083887913401415e-02
-1.593750000000000000e+00,1.048512543914007639e-01
-1.500000000000000000e+00,1.226980286094465078e-01
-1.406250000000000000e+00,1.422211971651832219e-01
-1.312500000000000000e+00,1.632878481279427529e-01
-1.218750000000000000e+00,1.856975577883935025e-01
-1.125000000000000000e+00,2.091805541292971748e-01
-1.031250000000000000e+00,2.333991213470922865e-01
-9.375000000000000000e-01,2.579526032095006416e-01
-8.437500000000000000e-01,2.823861575504448829e-01
-7.500000000000000000e-01,3.062031707519343171e-01
-6.562500000000000000e-01,3.288809768536432032e-01
-5.625000000000000000e-01,3.498892622055215229e-01
-4.687500000000000000e-01,3.687102967461409198e-01
-3.750000000000000000e-01,3.848599403156071630e-01
-2.812500000000000000e-01,3.979082475080368275e-01
-1.875000000000000000e-01,4.074984529799277611e-01
-9.375000000000000000e-02,4.133631693362606052e-01
0.000000000000000000e+00,4.153367718191713354e-01
9.375000000000000000e-02,4.133631693362606052e-01
1.875000000000000000e-01,4.074984529799277611e-01
2.812500000000000000e-01,3.979082475080368275e-01
3.750000000000000000e-01,3.848599403156071630e-01
4.687500000000000000e-01,3.687102967461409198e-01
5.625000000000000000e-01,3.498892622055215229e-01
6.562500000000000000e-01,3.288809768536432032e-01
7.500000000000000000e-01,3.062031707519343171e-01
8.437500000000000000e-01,2.823861575504448829e-01
9.375000000000000000e-01,2.579526032095006416e-01
1.031250000000000000e+00,2.333991213470922865e-01
1.125000000000000000e+00,2.091805541292971748e-01
1.218750000000000000e+00,1.856975577883935025e-01
1.312500000000000000e+00,1.632878481279427529e-01
1.406250000000000000e+00,1.422211971651832219e-01
1.500000000000000000e+00,1.226980286094465078e-01
1.593750000000000000e+00,1.048512543914007639e-01
1.687500000000000000e+00,8.875083887913401415e-02
1.781250000000000000e+00,7.441047786106481932e-02
1.875000000000000000e+00,6.179573627126572904e-02
1.968750000000000000e+00,5.083299743036709395e-02
2.062500000000000000e+00,4.141862887924564057e-02
2.156250000000000000e+00,3.342785482038576617e-02
