# p,dist_p
-5.000000000000000000e+00,1.528482269080710249e-04
-4.921875000000000000e+00,1.776621050203052582e-04
-4.843750000000000000e+00,2.031213276206204205e-04
-4.765625000000000000e+00,2.271291788447388910e-04
-4.687500000000000000e+00,2.475156308698392427e-04
-4.609375000000000000e+00,2.623836118145865537e-04
-4.531250000000000000e+00,2.704150065513128559e-04
-4.453125000000000000e+00,2.710724149027916169e-04
-4.375000000000000000e+00,2.646533065394397755e-04
-4.296875000000000000e+00,2.521836539099917007e-04
-4.218750000000000000e+00,2.351720438014438808e-04
-4.140625000000000000e+00,2.152753983421986511e-04
-4.062500000000000000e+00,1.939471642367941728e-04
-3.984375000000000000e+00,1.721436706080721468e-04
-3.906250000000000000e+00,1.501530108445076755e-04
-3.828125000000000000e+00,1.275855439822476400e-04
-3.750000000000000000e+00,1.035313928910309295e-04
-3.671875000000000000e+00,7.685567936119644394e-05
-3.593750000000000000e+00,4.657470621140247236e-05
-3.515625000000000000e+00,1.224263392693610009e-05
-3.437500000000000000e+00,-2.571762523673540302e-05
-3.359375000000000000e+00,-6.578332505889107618e-05
-3.281250000000000000e+00,-1.052079670202567957e-04
-3.203125000000000000e+00,-1.399675883176493274e-04
-3.125000000000000000e+00,-1.646968674240672365e-04
-3.046875000000000000e+00,-1.725004782300570277e-04
-2.968750000000000000e+00,-1.545065974979768775e-04
-2.890625000000000000e+00,-9.902965592086497570e-05
-2.812500000000000000e+00,9.772525994846542607e-06
-2.734375000000000000e+00,1.938304748094182156e-04
-2.656250000000000000e+00,4.837281838006267376e-04
-2.578125000000000000e+00,9.219066924025451359e-04
-2.500000000000000000e+00,1.566475404088763651e-03
-2.421875000000000000e+00,2.495568655423489879e-03
-2.343750000000000000e+00,3.812152978663286770e-03
-2.265625000000000000e+00,5.649149597172650750e-03
-2.187500000000000000e+00,8.174676244065178302e-03
-2.109375000000000000e+00,1.159712274003051567e-02
-2.031250000000000000e+00,1.616965119821154109e-02
-1.953125000000000000e+00,2.219355821918596317e-02
-1.875000000000000000e+00,3.001976828819736404e-02
-1.796875000000000000e+00,4.004757205502439826e-02
-1.718750000000000000e+00,5.271961760492875626e-02
-1.640625000000000000e+00,6.851215001674794414e-02
-1.562500000000000000e+00,8.791961575252407735e-02
-1.484375000000000000e+00,1.114330351457941265e-01
-1.406250000000000000e+00,1.395120115024115204e-01
-1.328125000000000000e+00,1.725508767963370160e-01
-1.250000000000000000e+00,2.108402300255640682e-01
-1.171875000000000000e+00,2.545259343796505980e-01
-1.093750000000000000e+00,3.035684090423521608e-01
-1.015625000000000000e+00,3.577056724423065548e-01
-9.375000000000000000e-01,4.164239577051511154e-01
-8.593750000000000000e-01,4.789397353131171209e-01
-7.812500000000000000e-01,5.441965812694126159e-01
-7.031250000000000000e-01,6.108795044613033465e-01
-6.250000000000000000e-01,6.774481298445427235e-01
-5.468750000000000000e-01,7.421886136615679641e-01
-4.687500000000000000e-01,8.032824798265592037e-01
-3.906250000000000000e-01,8.588888836769523749e-01
-3.125000000000000000e-01,9.072353162271591387e-01
-2.343750000000000000e-01,9.467106367924469357e-01
-1.562500000000000000e-01,9.759537113633318661e-01
-7.812500000000000000e-02,9.939309341193565128e-01
0.000000000000000000e+00,9.999965499102976274e-01
7.812500000000000000e-02,9.939309341193565128e-01
1.562500000000000000e-01,9.759537113633318661e-01
2.343750000000000000e-01,9.467106367924469357e-01
3.125000000000000000e-01,9.072353162271591387e-01
3.906250000000000000e-01,8.588888836769523749e-01
4.687500000000000000e-01,8.032824798265592037e-01
5.468750000000000000e-01,7.421886136615679641e-01
6.250000000000000000e-01,6.774481298445427235e-01
7.031250000000000000e-01,6.108795044613033465e-01
7.812500000000000000e-01,5.441965812694126159e-01
8.593750000000000000e-01,4.789397353131171209e-01
9.375000000000000000e-01,4.164239577051511154e-01
1.015625000000000000e+00,3.577056724423065548e-01
1.093750000000000000e+00,3.035684090423521608e-01
1.171875000000000000e+00,2.545259343796505980e-01
1.250000000000000000e+00,2.108402300255640682e-01
1.328125000000000000e+00,1.725508767963370160e-01
1.406250000000000000e+00,1.395120115024115204e-01
1.484375000000000000e+00,1.114330351457941265e-01
1.562500000000000000e+00,8.791961575252407735e-02
1.640625000000000000e+00,6.851215001674794414e-02
1.718750000000000000e+00,5.271961760492875626e-02
1.796875000000000000e+00,4.004757205502439826e-02
1.875000000000000000e+00,3.001976828819736404e-02
1.953125000000000000e+00,2.219355821918596317e-02
2.031250000000000000e+00,1.616965119821154109e-02
2.109375000000000000e+00,1.159712274003051567e-02
2.187500000000000000e+00,8.174676244065178302e-03
2.265625000000000000e+00,5.649149597172650750e-03
2.343750000000000000e+00,3.812152978663286770e-03
2.421875000000000000e+00,2.495568655423489879e-03
2.500000000000000000e+00,1.566475404088763651e-03
2.578125000000000000e+00,9.219066924025451359e-04
2.656250000000000000e+00,4.837281838006267376e-04
2.734375000000000000e+00,1.938304748094182156e-04
2.812500000000000000e+00,9.772525994846542607e-06
2.890625000000000000e+00,-9.902965592086497570e-05
2.968750000000000000e+00,-1.545065974979768775e-04
3.046875000000000000e+00,-1.725004782300570277e-04
3.125000000000000000e+00,-1.646968674240672365e-04
3.203125000000000000e+00,-1.399675883176493274e-04
3.281250000000000000e+00,-1.052079670202567957e-04
3.359375000000000000e+00,-6.578332505889107618e-05
