# q,dist_q
-4.961240310077519311e+00,0.000000000000000000e+00
-4.883720930232557933e+00,0.000000000000000000e+00
-4.806201550387596555e+00,0.000000000000000000e+00
-4.728682170542635177e+00,0.000000000000000000e+00
-4.651162790697674687e+00,0.000000000000000000e+00
-4.573643410852713309e+00,0.000000000000000000e+00
-4.496124031007751931e+00,0.000000000000000000e+00
-4.418604651162790553e+00,0.000000000000000000e+00
-4.341085271317829175e+00,0.000000000000000000e+00
-4.263565891472868685e+00,0.000000000000000000e+00
-4.186046511627907307e+00,0.000000000000000000e+00
-4.108527131782945929e+00,0.000000000000000000e+00
-4.031007751937984551e+00,0.000000000000000000e+00
-3.953488372093023173e+00,0.000000000000000000e+00
-3.875968992248061795e+00,0.000000000000000000e+00
-3.798449612403100417e+00,0.000000000000000000e+00
-3.720930232558139927e+00,0.000000000000000000e+00
-3.643410852713178549e+00,0.000000000000000000e+00
-3.565891472868217171e+00,3.869999999999993440e-06
-3.488372093023255793e+00,5.159999999999991254e-06
-3.410852713178294415e+00,1.031999999999998251e-05
-3.333333333333333037e+00,6.450000000000025490e-06
-3.255813953488372103e+00,1.676999999999996988e-05
-3.178294573643411169e+00,5.031000000000020102e-05
-3.100775193798449791e+00,7.868999999999985815e-05
-3.023255813953488413e+00,1.251299999999997727e-04
-2.945736434108527035e+00,2.373599999999995841e-04
-2.868217054263565657e+00,3.044400000000011984e-04
-2.790697674418604723e+00,5.572799999999989741e-04
-2.713178294573643345e+00,6.385499999999989058e-04
-2.635658914728682412e+00,8.630100000000034619e-04
-2.558139534883721034e+00,1.239689999999997721e-03
-2.480620155038759655e+00,1.500269999999997344e-03
-2.403100775193798277e+00,1.967250000000007621e-03
-2.325581395348837344e+00,2.809619999999994882e-03
-2.248062015503875966e+00,3.849359999999993516e-03
-2.170542635658915032e+00,5.510880000000021803e-03
-2.093023255813953654e+00,7.716779999999985595e-03
-2.015503875968992276e+00,9.962669999999982512e-03
-1.937984496124030898e+00,1.321733999999997675e-02
-1.860465116279069742e+00,1.839024000000007153e-02
-1.782945736434108586e+00,2.412041999999995842e-02
-1.705426356589147208e+00,3.167981999999994192e-02
-1.627906976744186052e+00,4.074078000000016381e-02
-1.550387596899224896e+00,5.261780999999990382e-02
-1.472868217054263518e+00,6.519014999999987736e-02
-1.395348837209302362e+00,8.219880000000032161e-02
-1.317829457364341206e+00,1.012946699999998229e-01
-1.240310077519379828e+00,1.232465999999997897e-01
-1.162790697674418672e+00,1.466033400000005815e-01
