# s,dist_s
-6.000000000000000000e+00,4.073980640428576173e-06
-5.906250000000000000e+00,5.775714561798017919e-06
-5.812500000000000000e+00,8.143391046650923386e-06
-5.718750000000000000e+00,1.141872634905937978e-05
-5.625000000000000000e+00,1.592365820595201888e-05
-5.531250000000000000e+00,2.208415750590788691e-05
-5.437500000000000000e+00,3.046012152144629700e-05
-5.343750000000000000e+00,4.178257816155521258e-05
-5.250000000000000000e+00,5.699957845547864055e-05
-5.156250000000000000e+00,7.733228811099099483e-05
-5.062500000000000000e+00,1.043428953808544054e-04
-4.968750000000000000e+00,1.400160152987925291e-04
-4.875000000000000000e+00,1.868552700426386536e-04
-4.781250000000000000e+00,2.479966391176328423e-04
-4.687500000000000000e+00,3.273399760232209078e-04
-4.593750000000000000e+00,4.296997531502772449e-04
-4.500000000000000000e+00,5.609755964960482085e-04
-4.406250000000000000e+00,7.283424803431754867e-04
-4.312500000000000000e+00,9.404595468427389944e-04
-4.218750000000000000e+00,1.207695380233996148e-03
-4.125000000000000000e+00,1.542366193321544629e-03
-4.031250000000000000e+00,1.958981780582903700e-03
-3.937500000000000000e+00,2.474492279747647801e-03
-3.843750000000000000e+00,3.108526803030452808e-03
-3.750000000000000000e+00,3.883612913600286397e-03
-3.656250000000000000e+00,4.825363819400288121e-03
-3.562500000000000000e+00,5.962618146669260329e-03
-3.468750000000000000e+00,7.327515374494388348e-03
-3.375000000000000000e+00,8.955488614926766788e-03
-3.281250000000000000e+00,1.088515558125230896e-02
-3.187500000000000000e+00,1.315808847801190791e-02
-3.093750000000000000e+00,1.581844434572926214e-02
-3.000000000000000000e+00,1.891243926151529170e-02
-2.906250000000000000e+00,2.248765286532370886e-02
-2.812500000000000000e+00,2.659215403825412882e-02
-2.718750000000000000e+00,3.127344423258304751e-02
-2.625000000000000000e+00,3.657722189888756859e-02
-2.531250000000000000e+00,4.254597954501775775e-02
-2.437500000000000000e+00,4.921745397392143090e-02
-2.343750000000000000e+00,5.662295986678490128e-02
-2.250000000000000000e+00,6.478564669781904095e-02
-2.156250000000000000e+00,7.371872850002265942e-02
-2.062500000000000000e+00,8.342374469785969471e-02
