# p,dist_p
-5.000000000000000000e+00,1.071012352045191268e-04
-4.921875000000000000e+00,1.896924691800749851e-05
-4.843750000000000000e+00,-6.721740488956420845e-05
-4.765625000000000000e+00,-1.483983157369982847e-04
-4.687500000000000000e+00,-2.215780971372410119e-04
-4.609375000000000000e+00,-2.839421312817499293e-04
-4.531250000000000000e+00,-3.329609181020615899e-04
-4.453125000000000000e+00,-3.664787561736809057e-04
-4.375000000000000000e+00,-3.827845575120943783e-04
-4.296875000000000000e+00,-3.806649730878491900e-04
-4.218750000000000000e+00,-3.594424478916818239e-04
-4.140625000000000000e+00,-3.190030190162677221e-04
-4.062500000000000000e+00,-2.598202567784136524e-04
-3.984375000000000000e+00,-1.829823348501683627e-04
-3.906250000000000000e+00,-9.022839904490598251e-05
-3.828125000000000000e+00,1.600219436342226187e-05
-3.750000000000000000e+00,1.325088993690392430e-04
-3.671875000000000000e+00,2.552653941694602718e-04
-3.593750000000000000e+00,3.793688659588789758e-04
-3.515625000000000000e+00,4.990321164714071195e-04
-3.437500000000000000e+00,6.076605213365532387e-04
-3.359375000000000000e+00,6.980696855633013870e-04
-3.281250000000000000e+00,7.629128841687878027e-04
-3.203125000000000000e+00,7.953983679120091299e-04
-3.125000000000000000e+00,7.903833008178692832e-04
-3.046875000000000000e+00,7.459311862102451646e-04
-2.968750000000000000e+00,6.654107748172953529e-04
-2.890625000000000000e+00,5.601944591347388785e-04
-2.812500000000000000e+00,4.529813572871476540e-04
-2.734375000000000000e+00,3.817238179933957198e-04
-2.656250000000000000e+00,4.040762429138502337e-04
-2.578125000000000000e+00,6.022136955719549489e-04
-2.500000000000000000e+00,1.087788194057038790e-03
-2.421875000000000000e+00,2.006708062648012922e-03
-2.343750000000000000e+00,3.543347082154420929e-03
-2.265625000000000000e+00,5.923723594881417226e-03
-2.187500000000000000e+00,9.417144148551267330e-03
-2.109375000000000000e+00,1.433579072655284149e-02
-2.031250000000000000e+00,2.103175329788863415e-02
-1.953125000000000000e+00,2.989107669674301998e-02
-1.875000000000000000e+00,4.132450626988448672e-02
-1.796875000000000000e+00,5.575478018890771270e-02
-1.718750000000000000e+00,7.360052335763189735e-02
-1.640625000000000000e+00,9.525703934010126828e-02
-1.562500000000000000e+00,1.210745590165069191e-01
-1.484375000000000000e+00,1.513347700681311747e-01
-1.406250000000000000e+00,1.862266992622723105e-01
-1.328125000000000000e+00,2.258232277287590128e-01
-1.250000000000000000e+00,2.700596661854980929e-01
-1.171875000000000000e+00,3.187158828993343906e-01
-1.093750000000000000e+00,3.714034469201724087e-01
-1.015625000000000000e+00,4.275591138358478815e-01
-9.375000000000000000e-01,4.864457396191680383e-01
-8.593750000000000000e-01,5.471613672342927615e-01
-7.812500000000000000e-01,6.086568063703414744e-01
-7.031250000000000000e-01,6.697615428778025404e-01
